X_id,Merged Injuries,DOS,TABLE_B_X_id,laser_color_merged
5d2de1642834ae4512feedd4,1,1/7/11,5d2de1642834ae4512feedd4,1
5d2de1652834ae4512feeecf,1,1/13/11,5d2de1652834ae4512feeecf,1
5d2de1642834ae4512feee06,1,1/7/11,5d2de1642834ae4512feee06,1
5d2de1652834ae4512feeea6,1,1/20/11,5d2de1652834ae4512feeea6,1
5d2de1642834ae4512feeccc,1,1/6/11,5d2de1642834ae4512feeccc,1
5d2de1642834ae4512feed5e,1,1/8/11,5d2de1642834ae4512feed5e,1
5d2de1652834ae4512feee26,4,1/5/11,5d2de1652834ae4512feee26,1
5d2de1652834ae4512feee86,0,1/6/11,5d2de1652834ae4512feee86,1
5d2de1642834ae4512feeda9,1,1/7/11,5d2de1642834ae4512feeda9,1
5d2de1642834ae4512feed27,0,1/4/11,5d2de1642834ae4512feed27,1
5d2de1652834ae4512feee28,1,1/5/11,5d2de1652834ae4512feee28,1
5d2de1652834ae4512feeeb2,1,1/20/11,5d2de1652834ae4512feeeb2,1
5d2de1652834ae4512feeeb6,1,1/13/11,5d2de1652834ae4512feeeb6,1
5d2de1652834ae4512feeec3,1,1/15/11,5d2de1652834ae4512feeec3,1
5d2de1652834ae4512fef02d,1,1/22/11,5d2de1652834ae4512fef02d,1
5d2de1652834ae4512feefb4,1,1/21/11,5d2de1652834ae4512feefb4,1
5d2de1642834ae4512feeb9c,1,1/2/11,5d2de1642834ae4512feeb9c,1
5d2de1642834ae4512feed0d,1,1/5/11,5d2de1642834ae4512feed0d,1
5d2de1642834ae4512feed09,1,1/4/11,5d2de1642834ae4512feed09,1
5d2de1652834ae4512feee5f,0,1/6/11,5d2de1652834ae4512feee5f,1
5d2de1642834ae4512feed05,0,1/4/11,5d2de1642834ae4512feed05,4
5d2de1652834ae4512feee89,1,1/7/11,5d2de1652834ae4512feee89,1
5d2de1652834ae4512feeff7,1,1/22/11,5d2de1652834ae4512feeff7,1
5d2de1652834ae4512fef022,1,1/22/11,5d2de1652834ae4512fef022,1
5d2de1642834ae4512feee02,1,1/7/11,5d2de1642834ae4512feee02,1
5d2de1652834ae4512fef03d,1,1/22/11,5d2de1652834ae4512fef03d,1
5d2de1652834ae4512fef057,1,1/22/11,5d2de1652834ae4512fef057,1
5d2de1652834ae4512fef051,1,1/22/11,5d2de1652834ae4512fef051,1
5d2de1652834ae4512fef03c,1,1/22/11,5d2de1652834ae4512fef03c,1
5d2de1652834ae4512fef18f,0,1/16/11,5d2de1652834ae4512fef18f,1
5d2de1652834ae4512fef1a0,1,1/14/11,5d2de1652834ae4512fef1a0,1
5d2de1662834ae4512fef23e,0,1/15/11,5d2de1662834ae4512fef23e,1
5d2de1652834ae4512fef151,0,1/17/11,5d2de1652834ae4512fef151,1
5d2de1662834ae4512fef355,5,1/15/11,5d2de1662834ae4512fef355,1
5d2de1662834ae4512fef402,1,1/13/11,5d2de1662834ae4512fef402,1
5d2de1672834ae4512fef58a,1,2/1/11,5d2de1672834ae4512fef58a,1
5d2de1672834ae4512fef672,1,2/1/11,5d2de1672834ae4512fef672,3
5d2de1662834ae4512fef23b,1,1/15/11,5d2de1662834ae4512fef23b,3
5d2de1662834ae4512fef2e1,1,1/13/11,5d2de1662834ae4512fef2e1,1
5d2de1662834ae4512fef3ab,0,1/17/11,5d2de1662834ae4512fef3ab,3
5d2de1672834ae4512fef582,1,2/1/11,5d2de1672834ae4512fef582,1
5d2de1672834ae4512fef5b5,1,1/31/11,5d2de1672834ae4512fef5b5,1
