X_id,DOS,Acft_Dir,Acft_Orb_Man_Patrol_Turn
5d2de1652834ae4512fef02d,1/22/11,N,
5d2de1652834ae4512feefb4,1/21/11,W,
5d2de1642834ae4512feeb9c,1/2/11,,
5d2de1642834ae4512feed0d,1/5/11,,
5d2de1642834ae4512feed09,1/4/11, SW,
5d2de1652834ae4512feee5f,1/6/11,SW ,
5d2de1642834ae4512feed05,1/4/11,E ,
5d2de1652834ae4512feee89,1/7/11,SW ,
5d2de1652834ae4512feeff7,1/22/11,S ,
5d2de1652834ae4512fef022,1/22/11,,
5d2de1642834ae4512feee02,1/7/11,N,
5d2de1652834ae4512fef03d,1/22/11,,
5d2de1652834ae4512fef057,1/22/11,,
5d2de1652834ae4512fef051,1/22/11,W,
5d2de1652834ae4512fef03c,1/22/11,E,
5d2de1652834ae4512fef18f,1/16/11,SW ,
5d2de1652834ae4512fef1a0,1/14/11, S,
5d2de1662834ae4512fef23e,1/15/11,,ORBIT
5d2de1652834ae4512fef151,1/17/11,W ,
5d2de1662834ae4512fef355,1/15/11,N,
5d2de1662834ae4512fef402,1/13/11, SE,
5d2de1672834ae4512fef58a,2/1/11,,MANEUVER
5d2de1672834ae4512fef672,2/1/11,,
5d2de1662834ae4512fef23b,1/15/11,S,
5d2de1662834ae4512fef2e1,1/13/11, SW,
5d2de1662834ae4512fef3ab,1/17/11,SE ,
5d2de1672834ae4512fef582,2/1/11, S,
5d2de1672834ae4512fef5b5,1/31/11, SW,
5d2de1672834ae4512fef638,2/2/11,W,
5d2de1672834ae4512fef5fd,1/31/11,N ,
5d2de1652834ae4512fef1bd,1/15/11,NE ,
5d2de1652834ae4512fef1a1,1/14/11, SSE,
5d2de1662834ae4512fef283,1/17/11,NE ,
5d2de1662834ae4512fef30a,1/17/11,,
5d2de1672834ae4512fef4aa,1/20/11,,ORBIT
5d2de1662834ae4512fef219,1/15/11,E ,
5d2de1662834ae4512fef297,1/14/11, S,
5d2de1672834ae4512fef4e9,1/13/11, E,
5d2de1662834ae4512fef25d,1/13/11,,
5d2de1662834ae4512fef284,1/17/11,W ,
5d2de1672834ae4512fef6b0,2/3/11, SE,
5d2de1652834ae4512fef0e8,1/23/11,N,
5d2de1662834ae4512fef44d,1/18/11,E ,
5d2de1672834ae4512fef61b,2/1/11,NW ,
5d2de1652834ae4512fef1ae,1/13/11, S,
5d2de1662834ae4512fef2bc,1/17/11,W ,
5d2de1672834ae4512fef5b4,1/31/11, N,
5d2de1662834ae4512fef3aa,1/17/11,,
5d2de1672834ae4512fef5b3,1/31/11,,
