acType,Model,Aircraft Type Designator,Class,ICAO WTC,Climb,Svc Ceiling ft,,
"DH8A, DE HAVILLAND CANADA, CC-142 Dash 8",CC-142 Dash 8,DH8A,Landplane,Medium,1200,25000,,
"DH8A, DE HAVILLAND CANADA, Dash 8 (100)",Dash 8 (100),DH8A,Landplane,Medium,1200,25000,,
DSH8,Dash 8 (100),DH8A,Landplane,Medium,1200,25000,,
"DH8B, DE HAVILLAND CANADA, Dash 8 (200)",DHC-8-200 Dash 8,DH8B,Landplane,Medium,1200,25000,,
"DH8B, DE HAVILLAND CANADA, DHC-8-200 Dash 8",DHC-8-200 Dash 8,DH8B,Landplane,Medium,1200,25000,,
DH8C,Dash 8 (300),DH8C,Landplane,Medium,1800,25000,,
"DH8C, DE HAVILLAND CANADA, Dash 8 (300)",Dash 8 (300),DH8C,Landplane,Medium,1800,25000,,
DHC8,Dash 8 (300),DH8C,Landplane,Medium,1800,25000,,
DH8D,Dash 8 (400),DH8D,Landplane,Medium,2500,25000,,
DH8D DE HAVILLAND CANADA Dash 8 (400),Dash 8 (400),DH8D,Landplane,Medium,2500,25000,,
"DH8D, DE HAVILLAND CANADA, Dash 8 (400)",Dash 8 (400),DH8D,Landplane,Medium,2500,25000,,
"DH8D, DE HAVILLAND CANADA, DHC-8-400 Dash 8",Dash 8 (400),DH8D,Landplane,Medium,2500,25000,,
"DH8D,Dash 8 (400)",Dash 8 (400),DH8D,Landplane,Medium,2500,25000,,
DHC6,CC-138 Twin Otter,DHC6,Landplane,Light,1300,26700,,
"DHC6, DE HAVILLAND CANADA, CC-138 Twin Otter",CC-138 Twin Otter,DHC6,Landplane,Light,1300,26700,,
"DHC7, DE HAVILLAND CANADA, Dash 7",Dash 7,DHC7,Landplane,Medium,1000,21000,,
C127,C-127,DO27,Landplane,Light,700,10800,,
DV20,DA-20 Eclipse,DV20,Landplane,Light,800,17600,,
DV20 DIAMOND DA-20 Eclipse,DA-20 Eclipse,DV20,Landplane,Light,800,17600,,
"DV20, DIAMOND, DA-20 Eclipse",DA-20 Eclipse,DV20,Landplane,Light,800,17600,,
"DV20, DIAMOND, Falcon",DA-20 Falcon,DV20,Landplane,Light,800,17600,,
E110,Bandeirante,E110,Landplane,Light,1500,22500,,
"E110, EMBRAER, Bandeirante",Bandeirante,E110,Landplane,Light,1500,22500,,
E120,Brasilia,E120,Landplane,Medium,2000,32000,,
E120 EMBRAER Brasilia,Brasilia,E120,Landplane,Medium,2000,32000,,
"E120, EMBRAER, Brasilia",Brasilia,E120,Landplane,Medium,2000,32000,,
"E120, NEIVA, EMB-120 Brasilia",EMB-120 Brasilia,E120,Landplane,Medium,2000,32000,,
E135,EMB-135ER,E135,Landplane,Medium,1800,37000,,
E135 EMBRAER EMB-135,EMB-135ER,E135,Landplane,Medium,1800,37000,,
"E135, EMBRAER, EMB-135",EMB-135ER,E135,Landplane,Medium,1800,37000,,
"E135, EMBRAER, ERJ-135",ERJ-135,E135,Landplane,Medium,1800,37000,,
"E135, EMBRAER, ERJ-140",ERJ-140,E135,Landplane,Medium,1800,37000,,
"E135, EMBRAER, Legacy 600",EMB-135ER,E135,Landplane,Medium,1800,37000,,
"E135,EMB-135",EMB-135ER,E135,Landplane,Medium,1800,37000,,
e145,C-99,E145,Landplane,Medium,1800,37000,,
E145 EMBRAER C-99,C-99,E145,Landplane,Medium,1800,37000,,
"E145, EMBRAER, C-99",C-99,E145,Landplane,Medium,1800,37000,,
"E145, EMBRAER, EMB-145AEW",EMB-145AEW&C,E145,Landplane,Medium,1800,37000,,
"E145, EMBRAER, EMB-145EP",EMB-145EP,E145,Landplane,Medium,1800,37000,,
"E145, EMBRAER, EMB-145ER",EMB-145ER,E145,Landplane,Medium,1800,37000,,
"E145, EMBRAER, EMB-145EU",EMB-145EU,E145,Landplane,Medium,1800,37000,,
"E145, EMBRAER, EMB-145MP",EMB-145MP,E145,Landplane,Medium,1800,37000,,
"E145, EMBRAER, EMB-145MP/ASW",EMB-145MP/ASW,E145,Landplane,Medium,1800,37000,,
"E145, EMBRAER, EMB-145RS",EMB-145RS,E145,Landplane,Medium,1800,37000,,
"E145, EMBRAER, ERJ-145EP",ERJ-145EP,E145,Landplane,Medium,1800,37000,,
"E145, EMBRAER, ERJ-145ER",ERJ-145ER,E145,Landplane,Medium,1800,37000,,
"E145, EMBRAER, ERJ-145LR",ERJ-145LR,E145,Landplane,Medium,1800,37000,,
"E145,C-99",C-99,E145,Landplane,Medium,1800,37000,,
E145L,EMB-145LR,E145,Landplane,Medium,1800,37000,,
E170,170,E170,Landplane,Medium,1700,41000,,
E170 EMBRAER ERJ-170,170,E170,Landplane,Medium,1700,41000,,
"E170, EMBRAER, 170",170,E170,Landplane,Medium,1700,41000,,
"E170, EMBRAER, 175",170,E170,Landplane,Medium,1700,41000,,
"E170, EMBRAER, ERJ-170",170,E170,Landplane,Medium,1700,41000,,
"E170,ERJ-170",170,E170,Landplane,Medium,1700,41000,,
E190,190,E190,Landplane,Medium,1900,41000,,
E190 EMBRAER 190,190,E190,Landplane,Medium,1900,41000,,
"E190, EMBRAER, 190",190,E190,Landplane,Medium,1900,41000,,
"E190, EMBRAER, ERJ-190",190,E190,Landplane,Medium,1900,41000,,
"E190, EMBRAER, ERJ-190 Lineage 1000",ERJ-190 Lineage 1000,E190,Landplane,Medium,1900,41000,,
"E190, EMBRAER, 195",ERJ-190-200,E195,Landplane,Medium,1900,41000,,
"E2, GRUMMAN, Daya",Daya,E2,Landplane,Medium,2000,37000,,
"E2, GRUMMAN, E-2 Hawkeye",E-2 Hawkeye,E2,Landplane,Medium,2000,37000,,
a175,E175-E2,E275,Landplane,Medium,,,,
E175,E175-E2,E275,Landplane,Medium,,,,
E35L,EMB-135BJ Legacy,E35L,Landplane,Medium,1800,41000,,
"E35L, EMBRAER, EMB-135",EMB-135BJ Legacy,E35L,Landplane,Medium,1800,41000,,
"E3CF, BOEING, E-3F Sentry",E-3F Sentry,E3CF,Landplane,Heavy,3500,,,
E3,JE-3 Sentry,E3TF,Landplane,Heavy,3500,,,
"E3, Boeing, AWACS SENTRY",JE-3 Sentry,E3TF,Landplane,Heavy,3500,,,
E3TF,E-3A (TF33) Sentry,E3TF,Landplane,Heavy,3500,,,
E3TF BOEING E-3A (TF33) Sentry,E-3A (TF33) Sentry,E3TF,Landplane,Heavy,3500,,,
"E3TF, BOEING, E-3A (TF33) Sentry",E-3A (TF33) Sentry,E3TF,Landplane,Heavy,3500,,,
E45X,ERJ-145XR,E45X,Landplane,Medium,1800,37000,,
E45X EMBRAER ERJ-145XR,ERJ-145XR,E45X,Landplane,Medium,1800,37000,,
"E45X, EMBRAER, EMB-145XR",EMB-145XR,E45X,Landplane,Medium,1800,37000,,
"E45X, EMBRAER, ERJ-145XR",ERJ-145XR,E45X,Landplane,Medium,1800,37000,,
"E45X,ERJ-145XR",ERJ-145XR,E45X,Landplane,Medium,1800,37000,,
"E500, EXTRA, EA-500",EA-500,E500,Landplane,Light,1800,25000,,
E50P,EMB-500 Phenom 100,E50P,Landplane,Light,1900,41000,,
E50P EMBRAER EMB-500 Phenom 100,EMB-500 Phenom 100,E50P,Landplane,Light,1900,41000,,
"E50P, EMBRAER, EMB-500 Phenom 100",EMB-500 Phenom 100,E50P,Landplane,Light,1900,41000,,
"E50P,EMB-500 Phenom 100",EMB-500 Phenom 100,E50P,Landplane,Light,1900,41000,,
E545,Legacy 450,E545,Landplane,Medium,2000,45000,,
"E545, Embraer, Legacy 450",Legacy 450,E545,Landplane,Medium,2000,45000,,
"E545, Embraer, Legacy 500",Praetor 500,E545,Landplane,Medium,2000,45000,,
E55P,EMB-505 Phenom 300,E55P,Landplane,Medium,1900,45000,,
E55P EMBRAER EMB-505 Phenom 300,EMB-505 Phenom 300,E55P,Landplane,Medium,1900,45000,,
"E55P, EMBRAER, EMB-505 Phenom 300",EMB-505 Phenom 300,E55P,Landplane,Medium,1900,45000,,
"E55P, EMBRAER, Phenom 300",Phenom 300,E55P,Landplane,Medium,1900,45000,,
"E55P,EMB-505 Phenom 300",EMB-505 Phenom 300,E55P,Landplane,Medium,1900,45000,,
E6,E-6 Mercury,E6,Landplane,Heavy,3500,42000,,
"E6, BOEING, E-6 Mercury",E-6 Mercury,E6,Landplane,Heavy,3500,42000,,
e75,175 (long wing),E75L,Landplane,Medium,,41000,,
E750,175 (long wing),E75L,Landplane,Medium,,41000,,
e75l,175 (long wing),E75L,Landplane,Medium,,41000,,
E75L Embraer 175,175 (long wing),E75L,Landplane,Medium,,41000,,
E75L Embraer E175,175 (long wing),E75L,Landplane,Medium,,41000,,
"E75L, Embraer, 175",175 (long wing),E75L,Landplane,Medium,,41000,,
"E75L, Embraer, E175",175 (long wing),E75L,Landplane,Medium,,41000,,
"E75L, EMBRAER, E75L",175 (long wing),E75L,Landplane,Medium,,41000,,
E75LR,175 (long wing),E75L,Landplane,Medium,,41000,,
E75S,ERJ-170-200 (short wing),E75S,Landplane,Medium,,41000,,
E75S Embraer ERJ 170-200 LR,ERJ-170-200 (short wing),E75S,Landplane,Medium,,41000,,
"E75S, Embraer, ERJ 170-200 LR",ERJ-170-200 (short wing),E75S,Landplane,Medium,,41000,,
"E75S,ERJ 170-200 LR",ERJ-170-200 (short wing),E75S,Landplane,Medium,,41000,,
E75SL,175 (short wing),E75S,Landplane,Medium,,41000,,
EA50,Eclipse 500,EA50,Landplane,Light,2400,41000,,
EA50 ECLIPSE Eclipse 500,Eclipse 500,EA50,Landplane,Light,2400,41000,,
"EA50, ECLIPSE, Eclipse 500",Eclipse 500,EA50,Landplane,Light,2400,41000,,
"EA50,Eclipse 500",Eclipse 500,EA50,Landplane,Light,2400,41000,,
EC20,Colibri,EC20,Helicopter,Light,1000,17000,,
"EC20, EUROCOPTER, Colibri",Colibri,EC20,Helicopter,Light,1000,17000,,
"EC20, EUROCOPTER, EC-120 Colibri",Colibri,EC20,Helicopter,Light,1000,17000,,
"EC25, EUROCOPTER, Cougar (EC-725)",Cougar Mk2+,EC25,Helicopter,Medium,700,17000,,
"EC25, EUROCOPTER, EC-225 Super Puma",EC-225 Super Puma Mk2+,EC25,Helicopter,Medium,700,17000,,
EC30,EC-130,EC30,Helicopter,Light,1800,23000,,
"EC30, EUROCOPTER, EC-130",EC-130,EC30,Helicopter,Light,1800,23000,,
H130,EC-130 Stylence,EC30,Helicopter,Light,1800,23000,,
EC135,EC-135 Bluecopter,EC35,Helicopter,Light,1200,10000,,
EC35,EC-135,EC35,Helicopter,Light,1200,10000,,
EC35 EUROCOPTER EC-135,EC-135,EC35,Helicopter,Light,1200,10000,,
"EC35, EUROCOPTER, EC-135",EC-135,EC35,Helicopter,Light,1200,10000,,
"EC35,EC-135",EC-135,EC35,Helicopter,Light,1200,10000,,
H135,EC-135,EC35,Helicopter,Light,1200,10000,,
EC145,EC-145 Stylence,EC45,Helicopter,Light,1900,18000,,
EC45,EC-145,EC45,Helicopter,Light,1900,18000,,
EC45 EUROCOPTER EC-145,EC-145,EC45,Helicopter,Light,1900,18000,,
"EC45, EUROCOPTER, BK-117C-2",BK-117C-2,EC45,Helicopter,Light,1900,18000,,
"EC45, EUROCOPTER, EC-145",EC-145,EC45,Helicopter,Light,1900,18000,,
"EC45, KAWASAKI, BK-117C-2",BK-117C-2,EC45,Helicopter,Light,1900,18000,,
"EC45,EC-145",EC-145,EC45,Helicopter,Light,1900,18000,,
H145,H-145,EC45,Helicopter,Light,1900,18000,,
H72,H-72 Lakota,EC45,Helicopter,Light,1900,18000,,
H72 HUGHES UH72 LAKOTA,H-72 Lakota,EC45,Helicopter,Light,1900,18000,,
"H72, HUGHES, UH72 LAKOTA",H-72 Lakota,EC45,Helicopter,Light,1900,18000,,
uh72,UH-72 Lakota,EC45,Helicopter,Light,1900,18000,,
"EC55, EUROCOPTER, EC-155",EC-155,EC55,Helicopter,Light,1000,15000,,
"EH10, AGUSTA, EH-101",EH-101,EH10,Helicopter,Medium,,10000,,
"EN28, ENSTROM, 280 Shark",280 Shark,EN28,Helicopter,Light,1200,12000,,
"EPIC, AIR, Epic",Epic Dynasty,EPIC,Landplane,Light,2300,34000,,
"ERCO, AIR PRODUCTS, Aircoupe",Aircoupe,ERCO,Landplane,Light,500,13000,,
"EURT, FFT, Eurotrainer 2000",Eurotrainer 2000,EURT,Landplane,Light,1000,23100,,
"EVSS, EVEKTOR-AEROTECHNIK, SportStar",SportStar,EVSS,Landplane,Light,800,15800,,
EXP,EXPERIMENTAL,EXP,EXP,Unknown,,,,
"EXP, EXPERIMENTAL, EXPERIMENTAL",EXPERIMENTAL,EXP,EXP,Unknown,,,,
"EXP,EXPERIMENTAL",EXPERIMENTAL,EXP,EXP,Unknown,,,,
EXPL,Explorer,EXPL,Helicopter,Light,800,17500,,
"EXPL, BOEING, Explorer",Explorer,EXPL,Helicopter,Light,800,17500,,
EXPR,90,EXPR,Landplane,Light,2400,28000,,
F15,Eagle,F15,Landplane,Medium,40000,65000,,
"F15, BOEING, Eagle",Eagle,F15,Landplane,Medium,40000,65000,,
2/F16,F-16 Fighting Falcon,F16,Landplane,Medium,40000,50000,,
F16,F-16 Fighting Falcon,F16,Landplane,Medium,40000,50000,,
"F16, FOKKER, F-16 Fighting Falcon",F-16 Fighting Falcon,F16,Landplane,Medium,40000,50000,,
"F16, GENERAL DYNAMICS, F-16C Fighting Falcon",F-16C Fighting Falcon,F16,Landplane,Medium,40000,50000,,
F18,AF-18 Hornet,F18H,Landplane,Medium,40000,50000,,
"F18, ASTA, AF-18 Hornet",AF-18 Hornet,F18H,Landplane,Medium,40000,50000,,
"F18, BOEING, FA-18 Hornet",Hornet,F18H,Landplane,Medium,40000,50000,,
"F18, BOEING, FA-18 Super Hornet",Super Hornet,F18S,Landplane,Medium,20000,50000,,
"F18, BOEING, Super Hornet",Super Hornet,F18S,Landplane,Medium,20000,50000,,
"F22, BOEING, FA-22 Raptor",F-22 Raptor,F22,Landplane,Medium,35000,50000,,
F260,F-260E,F260,Landplane,Light,1400,20000,,
"F28, FOKKER, Fellowship",F-28 Fellowship,F28,Landplane,Medium,3000,35000,,
F2TH,Falcon 2000,F2TH,Landplane,Medium,2000,47000,,
F2TH DASSAULT Falcon 2000,Falcon 2000,F2TH,Landplane,Medium,2000,47000,,
"F2TH, DASSAULT, Falcon 2000",Falcon 2000,F2TH,Landplane,Medium,2000,47000,,
F35,F-35A Lightning II,F35,Landplane,Medium,8000,,,
"F35, LOCKHEED MARTIN, F-35A",F-35A Lightning II,F35,Landplane,Medium,8000,,,
F5,CF-5,F5,Landplane,Medium,28000,51800,,
"F5, CANADAIR, CF-5",CF-5,F5,Landplane,Medium,28000,51800,,
F800,Falcon 900,F900,Landplane,Medium,2000,51000,,
F900,Falcon 900,F900,Landplane,Medium,2000,51000,,
F900 DASSAULT Falcon 900,Falcon 900,F900,Landplane,Medium,2000,51000,,
"F900, DASSAULT, Falcon 900",Falcon 900,F900,Landplane,Medium,2000,51000,,
"F900, DASSAULT-BREGUET, Falcon 900",Falcon 900,F900,Landplane,Medium,2000,51000,,
"F900, DASSAULT-BREGUET, T-18 Falcon 900",Falcon 900,F900,Landplane,Medium,2000,51000,,
"FA10, DASSAULT, Falcon 10",Falcon 10,FA10,Landplane,Medium,2300,45000,,
FA20,Falcon 20,FA20,Landplane,Medium,2000,45000,,
FA20 DASSAULT Falcon 20,Falcon 20,FA20,Landplane,Medium,2000,45000,,
"FA20, DASSAULT, Falcon 20",Falcon 20,FA20,Landplane,Medium,2000,45000,,
"FA20, DASSAULT, Falcon 200",Falcon 200,FA20,Landplane,Medium,2000,45000,,
FA50,Falcon 50,FA50,Landplane,Medium,1800,49000,,
"FA50, DASSAULT, Falcon 50",Falcon 50,FA50,Landplane,Medium,1800,49000,,
"FA50, DASSAULT-BREGUET, Falcon 50",Falcon 50,FA50,Landplane,Medium,1800,49000,,
"FA50, DASSAULT-BREGUET, T-16 MystÃ¨re 50",Mystère 50,FA50,Landplane,Medium,1800,49000,,
FA7X,Falcon 7X,FA7X,Landplane,Medium,3000,51000,,
FA7X DASSAULT Falcon 7X,Falcon 7X,FA7X,Landplane,Medium,3000,51000,,
"FA7X, DASSAULT, Falcon 7X",Falcon 7X,FA7X,Landplane,Medium,3000,51000,,
"FDCT, FLIGHT DESIGN, CT",CT,FDCT,Landplane,Light,800,14000,,
G150,Gulfstream G150,G150,Landplane,Medium,4000,45000,,
"G150, IAI, Gulfstream G150",Gulfstream G150,G150,Landplane,Medium,4000,45000,,
"G159, GRUMMAN, Academe",Academe,G159,Landplane,Medium,1500,30000,,
"G200, AKROTECH, G-200",G-200,G200,Landplane,Light,3300,,,
"G21T, MCKINNON, Turbo Goose",Turbo Goose,G21T,Amphibian,Light,1000,20000,,
G280,Gulfstream G280,G280,Landplane,Medium,2400,45000,,
"G280, GULFSTREAM INDUSTRIES, G280",Gulfstream G280,G280,Landplane,Medium,2400,45000,,
G2CA,Gulfstream G280,G280,Landplane,Medium,2400,45000,,
"G2CA, GUIMBAL, Cabri",Gulfstream G280,G280,Landplane,Medium,2400,45000,,
GA5C,G-7 Gulfstream G500,GA5C,Landplane,Medium,,51000,,
"GA7, GRUMMAN AMERICAN, Cougar",Cougar,GA7,Landplane,Light,1500,17400,,
GA7C,Cougar,GA7,Landplane,Light,1500,17400,,
GA8,Airvan,GA8,Landplane,Light,600,20000,,
GA8 GIPPSLAND Airvan,Airvan,GA8,Landplane,Light,600,20000,,
"GA8, GIPPSLAND, Airvan",Airvan,GA8,Landplane,Light,600,20000,,
"GA8, GIPPSLAND, GA-8 Airvan",GA-8 Airvan,GA8,Landplane,Light,600,20000,,
"GA8,Airvan",Airvan,GA8,Landplane,Light,600,20000,,
GALX,1126 Galaxy,GALX,Landplane,Medium,4000,45000,,
GALX IAI 1126 Galaxy,1126 Galaxy,GALX,Landplane,Medium,4000,45000,,
"GALX, IAI, 1126 Galaxy",1126 Galaxy,GALX,Landplane,Medium,4000,45000,,
"GALX, IAI, Galaxy",1126 Galaxy,GALX,Landplane,Medium,4000,45000,,
UH42,HN-42 Partizan,GAZL,Helicopter,Light,1400,16400,,
"GC1, GLOBE, GC-1 Swift",GC-1 Swift,GC1,Landplane,Light,600,18000,,
"GC1, TEMCO, Swift",Swift,GC1,Landplane,Light,600,18000,,
"GL5T, BOMBARDIER, BD-700 Global 5000",BD-700 Global 5000,GL5T,Landplane,Medium,3500,51000,,
GL7T,BD-700 Global 7000,GL7T,Landplane,Medium,,51000,,
"GLAS, NEW GLASAIR, Glasair",Glasair,GLAS,Landplane,Light,2200,30000,,
"GLAS, STODDARD-HAMILTON, Glasair",Glasair,GLAS,Landplane,Light,2200,30000,,
GLEX,BD-700 Global 6000,GLEX,Landplane,Medium,3000,51000,,
"GLEX, BOMBARDIER, BD-700 Global Express",BD-700 Global 6000,GLEX,Landplane,Medium,3000,51000,,
"GLEX, BOMBARDIER, Global Express",Global Express,GLEX,Landplane,Medium,3000,51000,,
"GLEX, BOMBARDIER, Sentinel",Sentinel,GLEX,Landplane,Medium,3000,51000,,
"GLEX,BD-700 Global Express",BD-700 Global Express,GLEX,Landplane,Medium,3000,51000,,
"GLF2, GRUMMAN AMERICAN, Gulfstream 2",Gulfstream 2,GLF2,Landplane,Medium,4000,43000,,
"GLF2, GRUMMAN, C-20J Gulfstream 2SP",C-20J Gulfstream 2SP,GLF2,Landplane,Medium,4000,43000,,
"GLF3, GULFSTREAM AEROSPACE, C-20A Gulfstream 3",C-20A Gulfstream 3,GLF3,Landplane,Medium,4000,45000,,
GLF4,C-20F Gulfstream 4,GLF4,Landplane,Medium,3300,45000,,
GLF4 GULFSTREAM AEROSPACE C-20F Gulfstream 4,C-20F Gulfstream 4,GLF4,Landplane,Medium,3300,45000,,
"GLF4, GULFSTREAM AEROSPACE, C-20F Gulfstream 4",C-20F Gulfstream 4,GLF4,Landplane,Medium,3300,45000,,
"GLF4, GULFSTREAM AEROSPACE, G-4 Gulfstream 4",G-4 Gulfstream 4,GLF4,Landplane,Medium,3300,45000,,
GLF5,C-37 Gulfstream 5,GLF5,Landplane,Medium,4000,51000,,
GLF5 GULFSTREAM AEROSPACE C-37 Gulfstream 5,C-37 Gulfstream 5,GLF5,Landplane,Medium,4000,51000,,
"GLF5, GULFSTREAM AEROSPACE, C-37 Gulfstream 5",C-37 Gulfstream 5,GLF5,Landplane,Medium,4000,51000,,
"GLF5, GULFSTREAM AEROSPACE, G-5 Gulfstream 5",G-5 Gulfstream 5,GLF5,Landplane,Medium,4000,51000,,
"GLF5, GULFSTREAM AEROSPACE, Gulfstream 5",G-5 Gulfstream 5,GLF5,Landplane,Medium,4000,51000,,
GLF6,Gulfstream G650,GLF6,Landplane,Medium,3500,51000,,
GLF6 GRUMMAN Gulfstream 650,Gulfstream G650,GLF6,Landplane,Medium,3500,51000,,
"GLF6, GRUMMAN, Gulfstream 650",Gulfstream G650,GLF6,Landplane,Medium,3500,51000,,
GLST,GlaStar,GLST,Landplane,Light,1700,20000,,
"GS2, GLASAIR, GS-2 SPORTSMAN",Sportsman 2+2,GLST,Landplane,Light,1700,20000,,
"H12T, HILLER, UH-12E3T",UH-12E3T,H12T,Helicopter,Light,1000,15000,,
"H12T, HILLER, UH-12E4T",UH-12E4T,H12T,Helicopter,Light,1000,15000,,
"H2, KAMAN, Super Seasprite",Seaprite,H2,Helicopter,Light,2100,23900,,
H25A,DH-125,H25A,Landplane,Medium,3900,41000,,
"H25A, DE HAVILLAND, DH-125",DH-125,H25A,Landplane,Medium,3900,41000,,
"H25A, HAWKER SIDDELEY, HS-125-1",HS-125-1,H25A,Landplane,Medium,3900,41000,,
H25B,BAe-125-700,H25B,Landplane,Medium,2500,41000,,
H25B BRITISH AEROSPACE BAe-125-700,BAe-125-700,H25B,Landplane,Medium,2500,41000,,
"H25B, BRITISH AEROSPACE, BAe-125-700",BAe-125-700,H25B,Landplane,Medium,2500,41000,,
"H25B, HAWKER BEECHCRAFT, Hawker 750",Hawker 750,H25B,Landplane,Medium,2500,41000,,
"H25B, RAYTHEON, Hawker 800",Hawker 800,H25B,Landplane,Medium,2500,41000,,
"H25C, BRITISH AEROSPACE, BAe-125-1000",BAe-125-1000,H25C,Landplane,Medium,3000,43000,,
"H269, BREDANARDI, NH-300",NH-300,H269,Helicopter,Light,1000,10800,,
"H269, HUGHES, 269",269,H269,Helicopter,Light,1000,10800,,
"H269, HUGHES, 269 Sky Knight",269 Sky Knight,H269,Helicopter,Light,1000,10800,,
"H269, SCHWEIZER, 269C",269C,H269,Helicopter,Light,1000,10800,,
"H46, BOEING VERTOL, UH-46 Sea Knight",UH-46 Sea Knight,H46,Helicopter,Medium,1400,14000,,
H47,CH-47 Chinook,H47,Helicopter,Medium,1500,11100,,
H47 BOEING CH-47 Chinook,CH-47 Chinook,H47,Helicopter,Medium,1500,11100,,
"H47, BOEING, CH-47 Chinook",CH-47 Chinook,H47,Helicopter,Medium,1500,11100,,
H500,NH-500,H500,Helicopter,Light,1500,18700,,
H500 AGUSTA NH-500,NH-500,H500,Helicopter,Light,1500,18700,,
"H500, AGUSTA, NH-500",NH-500,H500,Helicopter,Light,1500,18700,,
"H500, BOEING, MD-500",MD-500,H500,Helicopter,Light,1500,18700,,
"H500, BOEING, MD-530MG Nightfox",MD-500 Nightfox,H500,Helicopter,Light,1500,18700,,
"H500, HUGHES, MH-6H",MH-6H,H500,Helicopter,Light,1500,18700,,
"H500,NH-500",NH-500,H500,Helicopter,Light,1500,18700,,
CH53,CH-53A Sea Stallion,H53,Helicopter,Medium,1500,21000,,
"H53, SIKORSKY, CH-53A Sea Stallion",CH-53A Sea Stallion,H53,Helicopter,Medium,1500,21000,,
"H53, SIKORSKY, CH-53C",CH-53C,H53,Helicopter,Medium,1500,21000,,
H60,S-70 Seahawk,H60,Helicopter,Medium,2000,19200,,
H60 Sikorsky S-70 Seahawk,Seahawk,H60,Helicopter,Medium,2000,19200,,
"H60, ASTA, S-70 Seahawk",S-70 Seahawk,H60,Helicopter,Medium,2000,19200,,
"H60, ASTA, Seahawk",S-70 Seahawk,H60,Helicopter,Medium,2000,19200,,
"H60, HAWKER DE HAVILLAND, Black Hawk",Black Hawk,H60,Helicopter,Medium,2000,19200,,
"H60, KOREAN AIR, UH-60 Black Hawk",UH-60 Black Hawk,H60,Helicopter,Medium,2000,19200,,
"H60, MITSUBISHI, SH-60 Seahawk",SH-60 Seahawk,H60,Helicopter,Medium,2000,19200,,
"H60, MITSUBISHI, UH-60",UH-60,H60,Helicopter,Medium,2000,19200,,
"H60, SIKORSKY, AH-60 Black Hawk",AH-60 Black Hawk,H60,Helicopter,Medium,2000,19200,,
"H60, Sikorsky, S-70 Seahawk",Seahawk,H60,Helicopter,Medium,2000,19200,,
"H60,S-70 Seahawk",Seahawk,H60,Helicopter,Medium,2000,19200,,
UH60,HH-60 Black Hawk,H60,Helicopter,Medium,2000,19200,,
"UH60, Sikorsky, Black Hawk",HH-60 Black Hawk,H60,Helicopter,Medium,2000,19200,,
AH64,AH-64 Apache,H64,Helicopter,Medium,2000,21000,,
"AH64, Hughes, APACHE",AH-64 Apache,H64,Helicopter,Medium,2000,21000,,
H64,AH-64 Longbow Apache,H64,Helicopter,Medium,2000,21000,,
"H64, BOEING, AH-64 Longbow Apache",AH-64 Longbow Apache,H64,Helicopter,Medium,2000,21000,,
"H64,AH-64 Longbow Apache",AH-64 Longbow Apache,H64,Helicopter,Medium,2000,21000,,
HA4T,4000 Hawker 4000,HA4T,Landplane,Medium,2100,45000,,
"HA4T, HAWKER BEECHCRAFT, 4000 Hawker 4000",4000 Hawker 4000,HA4T,Landplane,Medium,2100,45000,,
"HAR, ALENIA, AV-8 Harrier",AV-8 Harrier,HAR,Landplane,Medium,5000,51200,,
"HAR, BOEING, AV-8 Harrier",AV-8 Harrier,HAR,Landplane,Medium,5000,51200,,
HAWK,CT-155 Hawk,HAWK,Landplane,Medium,9000,46000,,
"HAWK, BAE SYSTEMS, CT-155 Hawk",CT-155 Hawk,HAWK,Landplane,Medium,9000,46000,,
"HAWK, BAE SYSTEMS, T-45 Goshawk",Goshawk,HAWK,Landplane,Medium,9000,46000,,
T45,T-45 Goshawk,HAWK,Landplane,Medium,9000,46000,,
"T45, Boeing, T-45 Training System (T45TS) Goshawk",T-45 Goshawk,HAWK,Landplane,Medium,9000,46000,,
HDJT,HondaJet,HDJT,Landplane,Light,2500,43000,,
"HDJT, HONDA, HondaJet",HondaJet,HDJT,Landplane,Light,2500,43000,,
"Heli, Helicopter, Generic",Generic,heli ,Helicopter,Light,,,,
COPT,HELO,HELO,Helicopter,Light,,,,
HELO,HELO,HELO,Helicopter,Light,,,,
HELO HELO HELO,HELO,HELO,Helicopter,Light,,,,
"HELO, HELO, HELO",HELO,HELO,Helicopter,Light,,,,
"HELO,HELO",HELO,HELO,Helicopter,Light,,,,
"HI27, HIRTH, Acrostar",Acrostar,HI27,Landplane,Light,2400,24600,,
"HT16, HINDUSTAN, HJT-16 Kiran",HJT-16 Kiran,HT16,Landplane,Light,3500,30000,,
"AH1, BELL HELICOPTER, COBRA/HUEY COBRA",AH-1E HueyCobra,HUCO,Helicopter,Light,1300,12200,,
"HUNT, HAWKER, Hunter",Hunter,HUNT,Landplane,Medium,17000,50000,,
HUSK,A-1 Husky,HUSK,Landplane,Light,1200,20000,,
"HXA, VARIOUS, EXPERIMENTAL ACFT less than 100 kts",EXPERIMENTAL ACFT less than 100kts,HXA,Unknown,Unknown,,,,
"HXB, VARIOUS, EXPERIMENTAL ACFT 100 kts to 200 kts",EXPERIMENTAL ACFT 100kts to 200kts,HXB,Unknown,Unknown,,,,
"J3, CUB, Cub",Cub,J3,Landplane,Light,400,12000,,
J328,Dornier 328JET,J328,Landplane,Medium,2500,35000,,
