X_id,year,month,week,wday,day,hour,minute,DOS,DOS_MONTH,DOS_QUARTER,DOS_WEEKNUMBER,DOS_WEEKDAY,DOS_MINUTE,DOS_HOUR,DOS_DAY,DOS_YEAR
5d2de3952834ae451204a9a9,2016,8,35,7,27,3,55,55:00.0,8,3,34,6,55,3,27,2016
5d2de3952834ae451204a9c3,2016,9,37,6,9,3,53,53:00.0,9,3,36,5,53,3,9,2016
5d2de3952834ae451204a9cd,2016,12,50,3,13,23,12,12:00.0,12,4,50,2,12,23,13,2016
5d2de3952834ae451204a9da,2016,11,48,3,29,4,34,34:00.0,11,4,48,2,34,4,29,2016
5d2de3952834ae451204a9e3,2016,12,51,3,20,2,52,52:00.0,12,4,51,2,52,2,20,2016
5d2de3952834ae451204a9e5,2016,12,51,3,20,23,32,32:00.0,12,4,51,2,32,23,20,2016
5d2de3952834ae451204a9ea,2017,1,1,6,6,0,25,25:00.0,1,1,1,5,25,0,6,2017
5d2de3952834ae451204a9ee,2016,12,48,5,1,23,40,40:00.0,12,4,48,4,40,23,1,2016
5d2de3952834ae451204a9f3,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3952834ae451204a9fc,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3952834ae451204aa03,2017,1,4,5,26,3,0,00:00.0,1,1,4,4,0,3,26,2017
5d2de3952834ae451204aa05,2016,8,32,3,9,8,32,32:00.0,8,3,32,2,32,8,9,2016
5d2de3952834ae451204aa11,2017,1,2,4,11,0,13,13:00.0,1,1,2,3,13,0,11,2017
5d2de3952834ae451204aa15,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3952834ae451204aa2c,2016,11,47,6,18,2,15,15:00.0,11,4,46,5,15,2,18,2016
5d2de3952834ae451204aa48,2016,9,35,5,1,3,3,03:00.0,9,3,35,4,3,3,1,2016
5d2de3952834ae451204aa4a,2016,10,44,6,28,0,48,48:00.0,10,4,43,5,48,0,28,2016
5d2de3952834ae451204aa50,2016,10,40,4,5,2,57,57:00.0,10,4,40,3,57,2,5,2016
5d2de3952834ae451204aa5c,2016,11,45,1,6,1,46,46:00.0,11,4,44,7,46,1,6,2016
5d2de3952834ae451204aa5d,2016,12,50,2,12,0,35,35:00.0,12,4,50,1,35,0,12,2016
5d2de3952834ae451204aa6e,2016,11,47,3,22,4,42,42:00.0,11,4,47,2,42,4,22,2016
5d2de3952834ae451204aa78,2016,11,48,1,27,1,51,51:00.0,11,4,47,7,51,1,27,2016
5d2de3952834ae451204aa85,2016,10,42,1,16,2,49,49:00.0,10,4,41,7,49,2,16,2016
5d2de3952834ae451204aa90,2017,1,1,1,1,1,49,49:00.0,1,1,52,7,49,1,1,2017
5d2de3962834ae451204aaa5,2016,11,44,4,2,1,18,18:00.0,11,4,44,3,18,1,2,2016
5d2de3962834ae451204aab2,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3962834ae451204aab5,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3962834ae451204aabc,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3962834ae451204aac3,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3962834ae451204aac5,2016,11,45,4,9,23,26,26:00.0,11,4,45,3,26,23,9,2016
